TL,TM,TR,ML,MM,MR,BL,BM,BR,class
b,x,x,o,x,o,x,b,o,True
b,x,x,o,x,o,o,x,b,True
b,x,x,o,x,o,b,x,o,True
b,x,x,o,x,b,x,o,o,True
b,x,x,o,x,b,o,x,o,True
b,x,x,o,o,x,o,b,x,True
b,x,x,o,o,x,b,o,x,True
b,x,x,o,b,x,o,o,x,True
b,x,x,b,x,o,x,o,o,True
b,x,x,b,x,o,o,x,o,True
b,x,x,b,o,x,o,o,x,True
b,x,o,x,x,x,o,o,b,True
b,x,o,x,x,x,o,b,o,True
b,x,o,x,x,x,b,o,o,True
b,x,o,x,x,o,o,x,b,True
b,x,o,x,x,b,o,x,o,True
b,x,o,o,x,x,o,x,b,True
b,x,o,o,x,x,b,x,o,True
b,x,o,o,x,o,x,x,b,True
b,x,o,o,x,o,b,x,x,True
b,x,o,o,x,b,x,x,o,True
b,x,o,o,x,b,o,x,x,True
b,x,o,o,x,b,b,x,b,True
b,x,o,o,o,b,x,x,x,True
b,x,o,o,b,o,x,x,x,True
b,x,o,b,x,x,o,x,o,True
b,x,o,b,x,o,o,x,x,True
b,x,o,b,x,o,b,x,b,True
b,x,o,b,x,b,o,x,b,True
b,x,o,b,x,b,b,x,o,True
b,x,o,b,o,o,x,x,x,True
b,x,b,x,x,o,o,x,o,True
b,x,b,o,x,x,o,x,o,True
b,x,b,o,x,o,x,x,o,True
b,x,b,o,x,o,o,x,x,True
b,x,b,o,x,o,b,x,b,True
b,x,b,o,x,b,o,x,b,True
b,x,b,o,x,b,b,x,o,True
b,x,b,b,x,o,o,x,b,True
b,x,b,b,x,o,b,x,o,True
b,x,b,b,x,b,o,x,o,True
b,o,x,x,x,x,o,o,b,True
b,o,x,x,x,x,o,b,o,True
b,o,x,x,x,x,b,o,o,True
b,o,x,x,x,o,x,o,b,True
b,o,x,x,x,o,x,b,o,True
b,o,x,x,x,b,x,o,o,True
b,o,x,x,o,x,o,b,x,True
b,o,x,x,b,x,o,o,x,True
b,o,x,o,x,x,x,o,b,True
b,o,x,o,x,x,x,b,o,True
b,o,x,o,x,x,o,b,x,True
b,o,x,o,x,x,b,o,x,True
b,o,x,o,x,o,x,x,b,True
b,o,x,o,x,o,x,b,x,True
b,o,x,o,x,b,x,x,o,True
b,o,x,o,x,b,x,o,x,True
b,o,x,o,x,b,x,b,b,True
b,o,x,o,o,x,x,b,x,True
b,o,x,o,o,x,b,x,x,True
b,o,x,o,o,b,x,x,x,True
b,o,x,o,b,x,x,o,x,True
b,o,x,o,b,x,o,x,x,True
b,o,x,o,b,x,b,b,x,True
b,o,x,o,b,o,x,x,x,True
b,o,x,b,x,x,x,o,o,True
b,o,x,b,x,x,o,o,x,True
b,o,x,b,x,o,x,x,o,True
b,o,x,b,x,o,x,o,x,True
b,o,x,b,x,o,x,b,b,True
b,o,x,b,x,b,x,o,b,True
b,o,x,b,x,b,x,b,o,True
b,o,x,b,o,x,o,x,x,True
b,o,x,b,o,x,b,b,x,True
b,o,x,b,o,o,x,x,x,True
b,o,x,b,b,x,o,b,x,True
b,o,x,b,b,x,b,o,x,True
b,o,o,x,x,x,x,o,b,True
b,o,o,x,x,x,x,b,o,True
b,o,o,x,x,x,o,x,b,True
b,o,o,x,x,x,o,b,x,True
b,o,o,x,x,x,b,x,o,True
b,o,o,x,x,x,b,o,x,True
b,o,o,x,x,x,b,b,b,True
b,o,o,x,o,b,x,x,x,True
b,o,o,x,b,o,x,x,x,True
b,o,o,o,x,b,x,x,x,True
b,o,o,o,b,x,x,x,x,True
b,o,o,b,x,o,x,x,x,True
b,o,o,b,o,x,x,x,x,True
b,o,o,b,b,b,x,x,x,True
b,o,b,x,x,x,x,o,o,True
b,o,b,x,x,x,o,x,o,True
b,o,b,x,x,x,o,o,x,True
b,o,b,x,x,x,o,b,b,True
b,o,b,x,x,x,b,o,b,True
b,o,b,x,x,x,b,b,o,True
b,o,b,x,o,o,x,x,x,True
b,o,b,o,x,o,x,x,x,True
b,o,b,o,o,x,x,x,x,True
b,o,b,o,b,b,x,x,x,True
b,o,b,b,o,b,x,x,x,True
b,o,b,b,b,o,x,x,x,True
b,b,x,x,x,o,x,o,o,True
b,b,x,x,o,x,o,o,x,True
b,b,x,o,x,x,x,o,o,True
b,b,x,o,x,x,o,o,x,True
b,b,x,o,x,o,x,x,o,True
b,b,x,o,x,o,x,o,x,True
b,b,x,o,x,o,x,b,b,True
b,b,x,o,x,b,x,o,b,True
b,b,x,o,x,b,x,b,o,True
b,b,x,o,o,x,x,o,x,True
b,b,x,o,o,x,o,x,x,True
b,b,x,o,o,x,b,b,x,True
b,b,x,o,b,x,o,b,x,True
b,b,x,o,b,x,b,o,x,True
b,b,x,b,x,o,x,o,b,True
b,b,x,b,x,o,x,b,o,True
b,b,x,b,x,b,x,o,o,True
b,b,x,b,o,x,o,b,x,True
b,b,x,b,o,x,b,o,x,True
b,b,x,b,b,x,o,o,x,True
b,b,o,x,x,x,x,o,o,True
b,b,o,x,x,x,o,x,o,True
b,b,o,x,x,x,o,o,x,True
b,b,o,x,x,x,o,b,b,True
b,b,o,x,x,x,b,o,b,True
b,b,o,x,x,x,b,b,o,True
b,b,o,x,o,o,x,x,x,True
b,b,o,o,x,o,x,x,x,True
b,b,o,o,o,x,x,x,x,True
b,b,o,o,b,b,x,x,x,True
b,b,o,b,o,b,x,x,x,True
b,b,o,b,b,o,x,x,x,True
b,b,b,x,x,x,o,o,b,True
b,b,b,x,x,x,o,b,o,True
b,b,b,x,x,x,b,o,o,True
b,b,b,o,o,b,x,x,x,True
b,b,b,o,b,o,x,x,x,True
b,b,b,b,o,o,x,x,x,True
x,x,o,x,x,o,o,b,o,False
x,x,o,x,x,o,b,o,o,False
x,x,o,x,x,b,o,o,o,False
x,x,o,x,o,x,o,o,b,False
x,x,o,x,o,x,o,b,o,False
x,x,o,x,o,o,o,x,b,False
x,x,o,x,o,o,o,b,x,False
x,x,o,x,o,o,b,x,o,False
x,x,o,x,o,b,o,x,o,False
x,x,o,x,o,b,o,o,x,False
x,x,o,x,o,b,o,b,b,False
x,x,o,x,b,x,o,o,o,False
x,x,o,x,b,o,o,x,o,False
x,x,o,x,b,o,b,b,o,False
x,x,o,o,x,o,x,b,o,False
x,x,o,o,o,x,o,x,b,False
x,x,o,o,o,x,o,b,x,False
x,x,o,o,o,o,x,x,b,False
x,x,o,o,o,o,x,b,x,False
x,x,o,o,o,o,b,x,x,False
x,x,o,o,o,b,o,x,x,False
x,x,o,o,b,o,x,x,o,False
x,x,o,b,x,x,o,o,o,False
x,x,o,b,x,o,x,o,o,False
x,x,o,b,x,o,b,b,o,False
x,x,o,b,o,x,o,x,o,False
x,x,o,b,o,x,o,o,x,False
x,x,o,b,o,x,o,b,b,False
x,x,o,b,o,o,x,x,o,False
x,x,o,b,o,o,o,x,x,False
x,x,o,b,o,b,o,x,b,False
x,x,o,b,o,b,o,b,x,False
x,x,o,b,b,o,x,b,o,False
x,x,o,b,b,o,b,x,o,False
x,x,b,x,x,o,o,o,o,False
x,x,b,x,o,x,o,o,o,False
x,x,b,x,b,b,o,o,o,False
x,x,b,o,x,x,o,o,o,False
x,x,b,o,o,o,x,x,o,False
x,x,b,o,o,o,x,o,x,False
x,x,b,o,o,o,x,b,b,False
x,x,b,o,o,o,o,x,x,False
x,x,b,o,o,o,b,x,b,False
x,x,b,o,o,o,b,b,x,False
x,x,b,b,x,b,o,o,o,False
x,x,b,b,b,x,o,o,o,False
x,o,x,x,x,b,o,o,o,False
x,o,x,x,o,x,o,o,b,False
x,o,x,x,o,x,b,o,o,False
x,o,x,x,o,o,b,o,x,False
x,o,x,x,o,b,o,o,x,False
x,o,x,x,o,b,b,o,b,False
x,o,x,x,b,x,o,o,o,False
x,o,x,o,o,x,x,o,b,False
x,o,x,o,o,o,x,x,b,False
x,o,x,o,o,o,x,b,x,False
x,o,x,o,o,o,b,x,x,False
x,o,x,o,o,b,x,o,x,False
x,o,x,b,x,x,o,o,o,False
x,o,x,b,o,x,x,o,o,False
x,o,x,b,o,x,b,o,b,False
x,o,x,b,o,o,x,o,x,False
x,o,x,b,o,b,x,o,b,False
x,o,x,b,o,b,b,o,x,False
x,o,o,x,x,o,b,x,o,False
x,o,o,x,o,x,o,x,b,False
x,o,o,x,o,x,o,b,x,False
x,o,o,x,o,x,b,o,x,False
x,o,o,x,o,b,o,x,x,False
x,o,o,b,x,o,x,x,o,False
x,o,o,b,o,x,x,o,x,False
x,o,o,b,o,x,o,x,x,False
x,o,b,x,o,x,o,o,x,False
x,o,b,x,o,x,b,o,b,False
x,o,b,x,o,b,b,o,x,False
x,o,b,o,o,x,x,o,x,False
x,o,b,b,o,x,x,o,b,False
x,o,b,b,o,x,b,o,x,False
x,o,b,b,o,b,x,o,x,False
x,b,x,x,x,o,o,o,o,False
x,b,x,x,o,x,o,o,o,False
x,b,x,x,b,b,o,o,o,False
x,b,x,o,x,x,o,o,o,False
x,b,x,o,o,o,x,x,o,False
x,b,x,o,o,o,x,o,x,False
x,b,x,o,o,o,x,b,b,False
x,b,x,o,o,o,o,x,x,False
x,b,x,o,o,o,b,x,b,False
x,b,x,o,o,o,b,b,x,False
x,b,x,b,x,b,o,o,o,False
x,b,x,b,b,x,o,o,o,False
x,b,o,x,x,o,o,x,o,False
x,b,o,x,x,o,b,b,o,False
x,b,o,x,o,x,o,x,o,False
x,b,o,x,o,x,o,o,x,False
x,b,o,x,o,x,o,b,b,False
x,b,o,x,o,o,o,x,x,False
x,b,o,x,o,b,o,x,b,False
x,b,o,x,o,b,o,b,x,False
x,b,o,x,b,o,b,x,o,False
x,b,o,o,x,o,x,x,o,False
x,b,o,o,o,x,o,x,x,False
x,b,o,b,x,o,x,b,o,False
x,b,o,b,x,o,b,x,o,False
x,b,o,b,o,x,o,x,b,False
x,b,o,b,o,x,o,b,x,False
x,b,o,b,o,b,o,x,x,False
x,b,o,b,b,o,x,x,o,False
x,b,b,x,x,b,o,o,o,False
x,b,b,x,b,x,o,o,o,False
x,b,b,o,o,o,x,x,b,False
x,b,b,o,o,o,x,b,x,False
x,b,b,o,o,o,b,x,x,False
x,b,b,b,x,x,o,o,o,False
o,x,x,x,x,b,o,o,o,False
o,x,x,x,o,x,o,b,o,False
o,x,x,x,o,x,b,o,o,False
o,x,x,x,o,o,x,b,o,False
o,x,x,x,o,o,b,x,o,False
o,x,x,x,o,b,x,o,o,False
o,x,x,x,o,b,o,x,o,False
o,x,x,x,o,b,b,b,o,False
o,x,x,x,b,x,o,o,o,False
o,x,x,o,x,x,o,o,b,False
o,x,x,o,x,x,o,b,o,False
o,x,x,o,x,o,o,b,x,False
o,x,x,o,x,b,o,o,x,False
o,x,x,o,x,b,o,b,b,False
o,x,x,o,o,x,x,b,o,False
o,x,x,o,o,x,o,x,b,False
o,x,x,o,o,x,b,x,o,False
o,x,x,o,o,o,x,x,b,False
o,x,x,o,o,o,x,b,x,False
o,x,x,o,o,o,b,x,x,False
o,x,x,o,o,b,x,x,o,False
o,x,x,o,o,b,o,x,x,False
o,x,x,o,b,x,o,x,o,False
o,x,x,o,b,x,o,b,b,False
o,x,x,o,b,o,o,x,x,False
o,x,x,o,b,b,o,x,b,False
o,x,x,o,b,b,o,b,x,False
o,x,x,b,x,x,o,o,o,False
o,x,x,b,o,x,x,o,o,False
o,x,x,b,o,x,o,x,o,False
o,x,x,b,o,x,b,b,o,False
o,x,x,b,o,o,x,x,o,False
o,x,x,b,o,b,x,b,o,False
o,x,x,b,o,b,b,x,o,False
o,x,o,x,x,o,x,b,o,False
o,x,o,x,o,x,x,b,o,False
o,x,o,x,o,x,o,x,b,False
o,x,o,x,o,x,o,b,x,False
o,x,o,x,o,x,b,x,o,False
o,x,o,x,o,b,x,x,o,False
o,x,o,x,o,b,o,x,x,False
o,x,o,x,b,o,x,x,o,False
o,x,o,o,x,x,o,b,x,False
o,x,o,o,b,x,o,x,x,False
o,x,o,b,o,x,x,x,o,False
o,x,o,b,o,x,o,x,x,False
o,x,b,x,o,x,x,o,o,False
o,x,b,x,o,x,o,x,o,False
o,x,b,x,o,x,b,b,o,False
o,x,b,x,o,o,x,x,o,False
o,x,b,x,o,b,x,b,o,False
o,x,b,x,o,b,b,x,o,False
o,x,b,o,x,x,o,o,x,False
o,x,b,o,x,x,o,b,b,False
o,x,b,o,x,b,o,b,x,False
o,x,b,o,o,x,x,x,o,False
o,x,b,o,o,x,o,x,x,False
o,x,b,o,b,x,o,x,b,False
o,x,b,o,b,x,o,b,x,False
o,x,b,o,b,b,o,x,x,False
o,x,b,b,o,x,x,b,o,False
o,x,b,b,o,x,b,x,o,False
o,x,b,b,o,b,x,x,o,False
o,o,x,x,o,x,x,o,b,False
o,o,x,x,o,x,x,b,o,False
o,o,x,x,o,x,b,x,o,False
o,o,x,x,o,b,x,x,o,False
o,o,x,x,o,b,x,o,x,False
o,o,x,o,x,x,o,x,b,False
o,o,x,o,x,b,o,x,x,False
o,o,x,b,o,x,x,x,o,False
o,o,o,x,x,o,x,x,b,False
o,o,o,x,x,o,x,b,x,False
o,o,o,x,x,o,b,x,x,False
o,o,o,x,x,b,x,x,o,False
o,o,o,x,x,b,x,o,x,False
o,o,o,x,x,b,x,b,b,False
o,o,o,x,x,b,o,x,x,False
o,o,o,x,x,b,b,x,b,False
o,o,o,x,x,b,b,b,x,False
o,o,o,x,o,x,x,x,b,False
o,o,o,x,o,x,x,b,x,False
o,o,o,x,o,x,b,x,x,False
o,o,o,x,b,x,x,x,o,False
o,o,o,x,b,x,x,o,x,False
o,o,o,x,b,x,x,b,b,False
o,o,o,x,b,x,o,x,x,False
o,o,o,x,b,x,b,x,b,False
o,o,o,x,b,x,b,b,x,False
o,o,o,x,b,b,x,x,b,False
o,o,o,x,b,b,x,b,x,False
o,o,o,x,b,b,b,x,x,False
o,o,o,o,x,x,x,x,b,False
o,o,o,o,x,x,x,b,x,False
o,o,o,o,x,x,b,x,x,False
o,o,o,b,x,x,x,x,o,False
o,o,o,b,x,x,x,o,x,False
o,o,o,b,x,x,x,b,b,False
o,o,o,b,x,x,o,x,x,False
o,o,o,b,x,x,b,x,b,False
o,o,o,b,x,x,b,b,x,False
o,o,o,b,x,b,x,x,b,False
o,o,o,b,x,b,x,b,x,False
o,o,o,b,x,b,b,x,x,False
o,o,o,b,b,x,x,x,b,False
o,o,o,b,b,x,x,b,x,False
o,o,o,b,b,x,b,x,x,False
o,o,b,x,o,x,x,x,o,False
o,o,b,x,o,x,x,o,x,False
o,o,b,o,x,x,o,x,x,False
o,b,x,x,o,x,x,o,o,False
o,b,x,x,o,x,o,x,o,False
o,b,x,x,o,x,b,b,o,False
o,b,x,x,o,o,x,x,o,False
o,b,x,x,o,b,x,b,o,False
o,b,x,x,o,b,b,x,o,False
o,b,x,o,x,x,o,x,o,False
o,b,x,o,x,x,o,b,b,False
o,b,x,o,x,o,o,x,x,False
o,b,x,o,x,b,o,x,b,False
o,b,x,o,x,b,o,b,x,False
o,b,x,o,o,x,x,x,o,False
o,b,x,o,b,x,o,x,b,False
o,b,x,o,b,b,o,x,x,False
o,b,x,b,o,x,x,b,o,False
o,b,x,b,o,x,b,x,o,False
o,b,x,b,o,b,x,x,o,False
o,b,o,x,x,o,x,x,o,False
o,b,o,x,o,x,x,x,o,False
o,b,o,x,o,x,o,x,x,False
o,b,o,o,x,x,o,x,x,False
o,b,b,x,o,x,x,b,o,False
o,b,b,x,o,x,b,x,o,False
o,b,b,x,o,b,x,x,o,False
o,b,b,o,x,x,o,x,b,False
o,b,b,o,x,x,o,b,x,False
o,b,b,o,x,b,o,x,x,False
o,b,b,o,b,x,o,x,x,False
o,b,b,b,o,x,x,x,o,False
b,x,x,x,x,o,o,o,o,False
b,x,x,x,o,x,o,o,o,False
b,x,x,x,b,b,o,o,o,False
b,x,x,o,x,x,o,o,o,False
b,x,x,o,o,o,x,x,o,False
b,x,x,o,o,o,x,o,x,False
b,x,x,o,o,o,x,b,b,False
b,x,x,o,o,o,o,x,x,False
b,x,x,o,o,o,b,x,b,False
b,x,x,o,o,o,b,b,x,False
b,x,x,b,x,b,o,o,o,False
b,x,x,b,b,x,o,o,o,False
b,x,o,x,x,o,x,o,o,False
b,x,o,x,x,o,b,b,o,False
b,x,o,x,o,x,o,x,o,False
b,x,o,x,o,x,o,o,x,False
b,x,o,x,o,x,o,b,b,False
b,x,o,x,o,o,x,x,o,False
b,x,o,x,o,o,o,x,x,False
b,x,o,x,o,b,o,x,b,False
b,x,o,x,o,b,o,b,x,False
b,x,o,x,b,o,x,b,o,False
b,x,o,x,b,o,b,x,o,False
b,x,o,o,o,x,o,x,x,False
b,x,o,b,x,o,x,b,o,False
b,x,o,b,o,x,o,x,b,False
b,x,o,b,o,x,o,b,x,False
b,x,o,b,o,b,o,x,x,False
b,x,o,b,b,o,x,x,o,False
b,x,b,x,x,b,o,o,o,False
b,x,b,x,b,x,o,o,o,False
b,x,b,o,o,o,x,x,b,False
b,x,b,o,o,o,x,b,x,False
b,x,b,o,o,o,b,x,x,False
b,x,b,b,x,x,o,o,o,False
b,o,x,x,o,x,x,o,o,False
b,o,x,x,o,x,b,o,b,False
b,o,x,x,o,o,x,o,x,False
b,o,x,x,o,b,x,o,b,False
b,o,x,x,o,b,b,o,x,False
b,o,x,b,o,x,x,o,b,False
b,o,x,b,o,b,x,o,x,False
b,o,o,x,x,o,x,x,o,False
b,o,o,x,o,x,x,o,x,False
b,o,o,x,o,x,o,x,x,False
b,o,b,x,o,x,x,o,b,False
b,o,b,x,o,x,b,o,x,False
b,o,b,x,o,b,x,o,x,False
b,o,b,b,o,x,x,o,x,False
b,b,x,x,x,b,o,o,o,False
b,b,x,x,b,x,o,o,o,False
b,b,x,o,o,o,x,x,b,False
b,b,x,o,o,o,x,b,x,False
b,b,x,o,o,o,b,x,x,False
b,b,x,b,x,x,o,o,o,False
b,b,o,x,x,o,x,b,o,False
b,b,o,x,x,o,b,x,o,False
b,b,o,x,o,x,o,x,b,False
b,b,o,x,o,x,o,b,x,False
b,b,o,x,o,b,o,x,x,False
b,b,o,x,b,o,x,x,o,False
b,b,o,b,x,o,x,x,o,False
b,b,o,b,o,x,o,x,x,False
x,x,o,o,x,x,x,o,o,False
x,x,o,o,o,x,x,x,o,False
x,x,o,o,o,x,x,o,x,False
x,o,x,x,x,o,o,x,o,False
x,o,x,x,o,x,o,x,o,False
x,o,x,x,o,o,o,x,x,False
x,o,x,o,x,x,o,x,o,False
x,o,x,o,o,x,x,x,o,False
x,o,o,o,x,x,x,x,o,False
o,x,x,x,x,o,o,o,x,False
o,x,x,x,o,o,x,o,x,False
o,x,x,x,o,o,o,x,x,False
o,x,o,x,x,o,x,o,x,False
o,x,o,x,o,x,x,o,x,False
o,x,o,o,x,x,x,o,x,False
o,o,x,x,x,o,o,x,x,False
